FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
01/01/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,700,657,1029,1012,0,0,2475
01/01/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,800,1105,1055,0,0,2329
01/01/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,,850,,1,0,1069
01/01/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,722,1105,1159,0,0,2556
01/01/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2254,58,56,0,0,1182
01/02/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,800,814,1133,1134,0,0,2475
01/02/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,758,1105,1142,0,0,2329
01/02/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,544,850,843,0,0,1069
01/02/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,658,1105,1042,0,0,2556
01/02/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,10,58,255,0,0,1182
01/03/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,800,753,1133,1055,0,0,2475
01/03/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,756,1105,,1,0,2329
01/03/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,540,850,911,0,0,1069
01/03/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,658,1105,1040,0,0,2556
01/03/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2250,58,148,0,0,1182
01/04/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,730,727,1104,1051,0,0,2475
01/04/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,632,850,920,0,0,1069
01/04/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,706,1105,1050,0,0,2556
01/04/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2237,58,214,0,0,1182
01/05/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,730,727,1104,1036,0,0,2475
01/05/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,805,1104,1054,0,0,2329
01/05/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,700,1105,1034,0,0,2556
01/05/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2145,2142,2359,2348,0,0,1182
01/06/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,730,728,1104,1044,0,0,2475
01/06/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,901,1104,1215,0,0,2329
01/06/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,730,728,1045,1044,0,0,1069
01/01/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,755,1624,1549,0,0,2475
01/01/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1405,1406,2159,2149,0,0,2329
01/01/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1551,2255,2341,0,0,2556
01/01/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,533,923,938,0,0,1182
01/02/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,852,1624,1655,0,0,2475
01/02/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1405,1417,2159,2156,0,0,2329
01/02/2022 00:00,G4,2,LAS,"Las Vegas, NV",NV,85,ATW,"Appleton, WI",WI,45,2344,46,510,604,0,0,1510
01/02/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1558,2255,2311,0,0,2556
01/02/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,,923,,1,0,1182
01/03/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,756,1624,1615,0,0,2475
01/03/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1405,,2159,,1,0,2329
01/03/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1656,2255,23,0,0,2556
01/03/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,522,923,931,0,0,1182
01/04/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,759,1617,1615,0,0,2475
01/04/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1400,1436,2158,2250,0,0,2329
01/04/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1535,2255,2316,0,0,2556
01/04/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,544,923,933,0,0,1182
01/04/2022 00:00,WN,2,DAL,"Dallas, TX",TX,74,MCI,"Kansas City, MO",MO,64,825,854,1000,1029,0,0,461
01/04/2022 00:00,WN,2,HOU,"Houston, TX",TX,74,DAL,"Dallas, TX",TX,74,630,652,735,747,0,0,239
01/04/2022 00:00,WN,2,MCI,"Kansas City, MO",MO,64,RSW,"Fort Myers, FL",FL,33,1040,1108,1420,1439,0,0,1155
01/05/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,756,1617,1552,0,0,2475
01/05/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1400,1402,2158,2123,0,0,2329
01/05/2022 00:00,B6,2,FLL,"Fort Lauderdale, FL",FL,33,JFK,"New York, NY",NY,22,1115,1136,1405,1435,0,0,1069
,,,,,,,,,,,,,,,,,
